#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
1.0.170.50,
1.0.171.213,
1.1.189.58,
1.1.220.100,
1.179.151.165,
1.179.172.45,
1.20.143.87,entry is 125.24.156.113
1.20.235.153,
1.231.81.166,
1.245.175.178,entry is 1.245.175.180
1.32.57.85,
1.4.195.114,
101.0.6.154,
101.109.119.24,
101.109.245.200,
101.128.70.9,
101.128.83.167,
101.128.94.203,
101.132.61.121,
101.2.166.9,entry is 101.2.166.41
101.251.204.174,
101.255.106.33,
101.255.106.94,
101.255.107.121,
101.255.107.78,entry is 103.171.240.134
101.255.117.138,
101.255.119.65,entry is 101.255.119.68
101.255.122.174,
101.255.122.81,entry is 101.255.122.82
101.255.150.129,
101.255.151.205,
101.255.151.245,
101.255.157.13,entry is 103.178.86.93
101.255.158.173,
101.255.164.82,
101.255.166.134,
101.255.167.242,
101.255.208.150,
101.255.208.18,
101.255.209.182,
101.255.209.93,
101.255.210.1,
101.255.211.90,
101.255.32.41,
101.255.69.25,
101.36.123.203,
101.51.131.47,
101.96.117.164,entry is 119.17.204.225
102.0.14.38,
102.0.14.42,
102.0.16.226,
102.0.18.120,
102.0.18.198,
102.0.21.148,
102.0.21.22,
102.0.25.184,
102.129.170.109,
102.129.170.123,
102.129.170.129,
102.129.170.134,
102.129.170.166,
102.129.170.224,
102.129.170.227,
102.129.170.247,
102.129.170.53,
102.129.170.99,
102.129.88.50,entry is 102.36.168.185
102.129.89.170,entry is 102.64.116.100
102.134.170.197,entry is 154.73.87.241
102.135.142.234,
102.164.252.150,
102.206.118.204,
102.206.48.149,entry is 76.144.40.133
102.206.48.191,entry is 102.211.56.106
102.206.48.239,entry is 102.211.56.106
102.206.49.151,entry is 76.144.40.133
102.206.49.18,entry is 102.211.56.106
102.206.49.218,entry is 76.144.40.133
102.206.50.134,entry is 76.144.40.133
102.206.50.93,entry is 76.144.40.133
102.207.128.2,
102.207.128.3,
102.208.166.248,entry is 102.208.166.30
102.209.0.138,
102.209.18.68,entry is 102.209.18.236
102.209.18.96,
102.209.191.10,
102.209.254.100,entry is 38.252.40.158
102.209.76.106,
102.209.76.109,entry is 102.209.79.241
102.209.76.172,entry is 102.68.77.159
102.210.125.2,
102.211.145.161,
102.211.146.199,entry is 102.211.145.31
102.211.146.31,entry is 102.68.77.3
102.212.46.48,
102.213.179.43,entry is 102.213.179.194
102.213.223.46,
102.213.248.72,
102.214.252.102,entry is 102.204.153.206
102.215.79.121,
102.216.85.13,
102.217.139.31,
102.217.190.157,
102.218.41.98,
102.220.13.208,
102.223.154.177,
102.36.127.7,entry is 102.36.127.231
102.36.133.62,
102.36.160.95,
102.38.13.9,
102.38.29.36,
102.38.30.24,
102.38.7.107,entry is 102.38.7.110
102.39.133.233,
102.39.233.4,
102.66.104.162,
102.68.128.192,entry is 102.68.128.215
102.68.128.194,entry is 102.68.128.215
102.68.128.196,entry is 102.68.128.218
102.68.128.197,entry is 102.68.128.212
102.68.128.201,entry is 102.68.128.217
102.68.128.205,entry is 102.68.128.210
102.68.129.56,entry is 102.68.129.54
102.68.131.31,
102.68.135.147,
102.68.135.148,entry is 102.68.135.157
102.69.146.59,
103.1.105.10,
103.1.50.25,
103.1.50.26,
103.1.50.42,
103.1.50.45,
103.1.50.52,
103.1.50.56,
103.1.50.58,
103.1.50.60,
103.1.50.72,
103.1.50.75,
103.1.50.77,
103.1.50.81,
103.1.51.153,
103.1.51.177,
103.1.51.85,entry is 103.1.51.101
103.1.93.184,
103.10.228.119,
103.10.60.178,
103.10.61.14,entry is 203.176.179.255
103.10.99.110,
103.100.175.154,entry is 95.111.194.14
103.101.193.170,
103.101.193.38,
103.101.216.66,
103.101.216.70,
103.101.218.250,entry is 103.169.188.122
103.102.12.97,entry is 103.102.12.67
103.102.13.57,entry is 103.102.13.107
103.102.136.177,entry is 103.102.138.218
103.102.14.33,
103.102.14.34,entry is 103.102.12.105
103.102.14.48,entry is 103.102.14.51
103.102.141.39,
103.102.141.40,
103.102.142.98,
103.102.145.182,entry is 103.80.118.33
103.102.167.234,entry is 103.143.105.138
103.102.85.1,
103.103.115.11,
103.103.145.13,
103.103.146.161,undocumented TOR exit
103.103.193.194,
103.103.3.6,
103.105.40.250,entry is 103.105.40.13
