#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sat Jul 25 23:59:47 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
1.0.170.50,
1.0.171.213,
1.1.189.58,
1.1.220.100,
1.179.151.165,
1.179.172.45,
1.20.143.87,entry is 125.24.156.113
1.20.235.153,
1.20.254.32,
1.231.81.166,
1.245.175.178,entry is 1.245.175.180
1.32.57.85,
1.4.195.114,
100.55.124.112,entry is 44.195.167.30
101.0.6.154,
101.109.119.24,
101.109.245.200,
101.128.70.9,
101.128.83.167,
101.128.94.203,
101.132.61.121,
101.2.166.9,entry is 101.2.166.41
101.251.204.174,
101.255.106.33,
101.255.106.94,
101.255.107.121,
101.255.107.33,
101.255.107.78,entry is 103.171.240.134
101.255.117.138,
101.255.119.65,entry is 101.255.119.68
101.255.122.174,
101.255.122.81,entry is 101.255.122.82
101.255.138.82,entry is 101.255.136.42
101.255.150.129,
101.255.151.205,
101.255.151.245,
101.255.157.13,entry is 103.178.86.93
101.255.157.7,entry is 103.178.86.93
101.255.158.173,
101.255.164.213,
101.255.164.82,
101.255.166.134,
101.255.167.242,
101.255.208.150,
101.255.208.18,
101.255.209.158,
101.255.209.165,
101.255.209.182,
101.255.209.249,
101.255.209.93,
101.255.210.1,
101.255.211.90,
101.255.32.41,
101.255.69.25,
101.32.75.4,
101.36.104.239,
101.36.104.46,
101.36.109.77,
101.36.123.203,
101.37.23.47,
101.51.131.47,
101.96.117.164,entry is 119.17.204.225
101.96.98.138,
102.0.14.38,
102.0.14.42,
102.0.16.226,
102.0.18.120,
102.0.18.198,
102.0.21.148,
102.0.21.22,
102.0.25.184,
102.129.170.109,
102.129.170.123,
102.129.170.129,
102.129.170.134,
102.129.170.166,
102.129.170.224,
102.129.170.227,
102.129.170.247,
102.129.170.53,
102.129.170.99,
102.129.88.50,entry is 102.36.168.185
102.129.89.170,entry is 102.64.116.100
102.132.17.30,
102.134.101.35,entry is 206.123.156.225
102.134.170.197,entry is 154.73.87.241
102.135.142.234,
102.164.252.150,
102.203.80.41,
102.204.14.2,
102.205.252.26,entry is 102.205.252.61
102.206.118.204,
102.206.48.15,entry is 76.144.40.133
102.206.48.156,entry is 76.144.40.133
102.206.48.158,entry is 102.211.56.106
102.206.48.17,entry is 102.211.56.106
102.206.48.191,entry is 102.211.56.106
102.206.48.251,entry is 102.211.56.106
102.206.48.84,entry is 102.211.56.106
102.206.49.100,entry is 76.144.40.133
102.206.49.127,entry is 102.211.56.106
102.206.49.149,entry is 76.144.40.133
102.206.49.160,entry is 102.211.56.106
102.206.49.183,entry is 102.211.56.106
102.206.49.193,entry is 102.211.56.106
102.206.49.196,entry is 102.211.56.106
102.206.49.231,entry is 102.211.56.106
102.206.49.238,entry is 102.211.56.106
102.206.49.41,entry is 102.211.56.106
102.206.49.44,entry is 102.211.56.106
102.206.49.49,entry is 76.144.40.133
102.206.50.134,entry is 76.144.40.133
102.206.50.177,entry is 76.144.40.133
102.206.50.246,entry is 102.211.56.106
102.206.50.55,entry is 102.211.56.106
102.206.50.93,entry is 76.144.40.133
102.206.51.109,entry is 76.144.40.133
102.206.51.110,entry is 76.144.40.133
102.206.51.188,entry is 102.211.56.106
102.206.51.211,entry is 76.144.40.133
102.206.51.219,entry is 102.211.56.106
102.206.51.35,entry is 102.211.56.106
102.206.51.43,entry is 102.211.56.106
102.206.51.48,entry is 76.144.40.133
102.206.51.74,entry is 102.211.56.106
102.206.51.84,entry is 76.144.40.133
102.206.51.85,entry is 76.144.40.133
102.207.128.2,
102.207.128.3,
102.208.166.248,entry is 102.208.166.30
102.209.0.138,
102.209.18.68,entry is 102.209.18.236
102.209.18.96,
102.209.191.10,
102.209.254.100,entry is 38.252.40.158
102.209.76.106,
102.209.76.109,entry is 102.209.79.241
102.209.76.172,entry is 102.68.77.159
102.210.125.2,
102.211.145.161,
102.211.146.194,entry is 102.211.145.31
102.211.146.199,entry is 102.211.145.31
102.211.146.31,entry is 102.68.77.3
102.212.152.2,
102.212.46.48,
102.213.179.25,entry is 102.213.179.210
102.213.179.43,entry is 102.213.179.194
102.213.223.46,
102.213.248.72,
102.214.145.1,entry is 102.214.147.147
102.214.252.102,entry is 102.204.153.206
102.214.252.106,entry is 102.214.253.2
102.215.245.6,
102.215.79.121,
102.216.85.13,
102.217.139.31,
102.217.190.157,
