#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sun Feb 15 23:52:07 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2001:19f0:c800:232c:5400:4ff:fe4a:8ebe,entry is 64.176.6.165
2001:41d0:1004:3051::,entry is 137.74.92.81
2001:41d0:304:200::401e,entry is 141.94.70.195
2001:41d0:404:200::185f,entry is 51.77.210.150
2001:41d0:701:1100::4ee9,entry is 135.125.190.23
2001:448a:c0b0:3442:a55:31ff:fef8:d950,entry is 103.31.241.213
2001:448a:c0b0:3aef:a55:31ff:fef8:d950,entry is 103.31.241.213
2001:448a:c0b0:5e8c:a55:31ff:fef8:d950,entry is 103.31.241.213
2001:4490:4888:42d3::22,entry is 117.247.233.62
2001:4490:4888:442::24,entry is 117.247.233.48
2001:4490:4888:f84::22,entry is 117.247.233.62
2001:67c:198c:906:27::15d,entry is 65.108.203.36
2001:67c:198c:906:27::2e4,entry is 65.108.203.35
2001:67c:198c:906:27::324,entry is 65.108.203.36
2001:67c:198c:906:27::33,entry is 65.108.203.35
2001:67c:198c:906:27::38e,entry is 65.108.203.36
2001:67c:198c:906:27::3a1,entry is 65.108.203.37
2001:67c:2044:1905:cc19:acff:fe63:8040,undocumented TOR exit
2001:67c:2628:647:10::235,entry is 65.108.203.36
2001:67c:2628:647:10::2ab,entry is 65.108.203.35
2001:67c:2628:647:10::364,entry is 65.108.203.35
2001:67c:2628:647:10::3bb,entry is 65.108.203.36
2001:67c:2628:647:10::4,entry is 65.108.203.36
2001:67c:2628:647:10::88,entry is 65.108.203.37
2001:67c:2628:647:10::fe,entry is 65.108.203.37
2001:67c:2628:647:31:2404:0:140,entry is 65.108.203.35
2001:67c:2628:647:31:2404:0:1e5,entry is 65.108.203.36
2001:67c:2628:647:31:2404:0:1e6,entry is 65.108.203.35
2001:67c:2628:647:31:2404:0:301,entry is 65.108.203.35
