#
# Automatically generated CSV list of IPv4 proxy exit subnets.
# Extracted from proxy_exits_30d_ipv4.csv (min. 16 subnet hits)
# Generated: Mon Aug 10 02:03:04 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
subnet mask,description
102.206.49.0/24,50 unique IPv4 exits on subnet
102.206.51.0/24,39 unique IPv4 exits on subnet
103.1.50.0/24,17 unique IPv4 exits on subnet
103.104.142.0/24,24 unique IPv4 exits on subnet
103.166.9.0/24,55 unique IPv4 exits on subnet
12.202.180.0/24,20 unique IPv4 exits on subnet
150.40.118.0/24,43 unique IPv4 exits on subnet
150.40.119.0/24,36 unique IPv4 exits on subnet
181.215.52.0/24,48 unique IPv4 exits on subnet
193.36.118.0/24,17 unique IPv4 exits on subnet
217.217.243.0/24,49 unique IPv4 exits on subnet
23.189.168.0/24,17 unique IPv4 exits on subnet
37.120.158.0/24,20 unique IPv4 exits on subnet
37.120.233.0/24,25 unique IPv4 exits on subnet
37.203.37.0/24,26 unique IPv4 exits on subnet
38.95.111.0/24,39 unique IPv4 exits on subnet
66.234.147.0/24,36 unique IPv4 exits on subnet
82.29.94.0/24,26 unique IPv4 exits on subnet
82.29.97.0/24,23 unique IPv4 exits on subnet
84.17.43.0/24,18 unique IPv4 exits on subnet
84.17.50.0/24,36 unique IPv4 exits on subnet
89.124.8.0/24,21 unique IPv4 exits on subnet
