#
# Automatically generated CSV list of IPv6 proxy exit subnets.
# Extracted from proxy_exits_30d_ipv6.csv (min. 16 subnet hits)
# Generated: Sun May 24 23:52:11 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
subnet mask,description
2001:67c:2600::/40,22 unique IPv6 exits from entry IP 65.108.203.36
2001:67c:2660:425:0::/76,17 unique IPv6 exits from entry IP 65.108.203.37
2001:67c:2660:425:0::/76,23 unique IPv6 exits from entry IP 65.108.203.35
2001:df3:e8c0:1100::/56,17 unique IPv6 exits from entry IP 160.250.54.4
2001:df3:e8c0:1200::/56,23 unique IPv6 exits from entry IP 160.250.54.5
2001:df3:e8c0:1400::/56,16 unique IPv6 exits from entry IP 160.250.54.7
2001:df3:e8c0:2000::/56,18 unique IPv6 exits from entry IP 160.250.54.9
2602:f7d6:48::/48,27 unique IPv6 exits from entry IP 23.133.196.9
2605:6404:18a::/48,25 unique IPv6 exits from entry IP 45.61.188.134
2a09:bac5:3a00::/44,20 unique IPv6 exits from entry IP 103.197.188.63
